REGION,JOB_TITLE,SALARY,LOAN_AMOUNT,PERIOD,TARGET
Казань,Бухгалтер,89450,1162180,72,1
Москва,Программист,157495,1674704,24,0
Казань,Экономист,189242,1453072,84,1
Питер,Экономист,189242,1065216,36,1
Москва,Экономист,157495,358764,24,1
Питер,Бухгалтер,89450,552692,60,1
Москва,Программист,75614,594248,108,1
Казань,Программист,210561,774324,48,1
Москва,Бухгалтер,210561,691212,24,1
Питер,Экономист,157495,1051364,24,1
Казань,Программист,112309,746620,60,1
Казань,Программист,89450,1009808,72,1
Москва,Бухгалтер,210561,885140,24,1
Москва,Программист,89450,331060,36,1
Питер,Программист,157495,718916,36,1
Москва,Бухгалтер,75614,1106772,108,1
Питер,Бухгалтер,75614,1550036,24,0
Питер,Бухгалтер,189242,663508,12,1
Питер,Экономист,157495,1120624,24,1
Казань,Бухгалтер,112309,954400,12,0
Казань,Программист,112309,1023660,84,1
Питер,Программист,96231,1356108,12,0
Москва,Экономист,189242,1619296,108,1
Казань,Бухгалтер,89450,663508,84,1
Питер,Программист,157495,1466924,24,0
Казань,Программист,112309,358764,24,1
Питер,Экономист,112309,1051364,36,1
Питер,Программист,189242,1730112,24,0
Москва,Программист,75614,1840928,48,0
Питер,Бухгалтер,96231,1702408,48,0
Питер,Бухгалтер,189242,871288,48,1
Казань,Экономист,157495,871288,12,0
Питер,Бухгалтер,112309,1037512,12,0
Казань,Программист,157495,594248,24,1
Казань,Бухгалтер,157495,1924040,72,1
Питер,Бухгалтер,96231,552692,84,1
Москва,Экономист,75614,1148328,36,0
Казань,Экономист,189242,234096,60,1
Питер,Программист,210561,1882484,12,0
Казань,Экономист,137245,1300700,48,1
Питер,Бухгалтер,189242,663508,72,1
Москва,Экономист,89450,1965596,24,0
Питер,Экономист,89450,926696,12,0
Москва,Бухгалтер,137245,1882484,12,0
Казань,Бухгалтер,189242,677360,12,1
Питер,Бухгалтер,96231,511136,48,1
Питер,Программист,112309,1550036,12,0
Москва,Бухгалтер,210561,649656,24,1
Москва,Экономист,96231,1231440,108,1
Казань,Программист,112309,511136,48,1
Казань,Программист,157495,1328404,72,1
Казань,Экономист,112309,1508480,108,1
Питер,Программист,157495,898992,60,1
Казань,Бухгалтер,75614,691212,72,1
Питер,Бухгалтер,89450,1383812,48,0
Питер,Экономист,75614,829732,36,0
Москва,Бухгалтер,89450,760472,108,1
Москва,Бухгалтер,89450,1979448,72,0
Казань,Экономист,137245,441876,96,1
Москва,Бухгалтер,96231,1716260,96,1
Москва,Экономист,89450,1660852,48,0
Москва,Программист,112309,469580,96,1
Москва,Экономист,210561,1009808,84,1
Казань,Экономист,189242,885140,24,1
Казань,Бухгалтер,210561,1979448,36,1
Питер,Экономист,75614,802028,12,0
Москва,Бухгалтер,112309,1924040,12,0
Казань,Бухгалтер,75614,1245292,84,1
Москва,Экономист,137245,1286848,84,1
Москва,Бухгалтер,157495,1813224,12,0
Москва,Программист,157495,1924040,12,0
Питер,Программист,75614,261800,36,1
Казань,Экономист,210561,1979448,60,1
Казань,Экономист,137245,220244,72,1
Казань,Программист,89450,469580,84,1
Питер,Экономист,137245,1993300,12,0
Казань,Экономист,210561,441876,72,1
Питер,Бухгалтер,89450,1951744,60,0
Казань,Бухгалтер,89450,1619296,48,0
Питер,Бухгалтер,210561,954400,12,0
Питер,Бухгалтер,75614,1730112,24,0
Питер,Бухгалтер,157495,1563888,60,1
Питер,Бухгалтер,137245,760472,84,1
Казань,Экономист,189242,1799372,12,0
Питер,Программист,137245,1619296,96,1
Казань,Экономист,112309,608100,12,0
Казань,Экономист,157495,788176,36,1
Москва,Экономист,75614,1563888,84,1
Казань,Бухгалтер,210561,247948,48,1
Казань,Бухгалтер,189242,1827076,108,1
Москва,Программист,75614,691212,60,1
Москва,Бухгалтер,210561,885140,24,1
Москва,Программист,189242,1286848,72,1
Казань,Экономист,137245,982104,96,1
Питер,Бухгалтер,89450,1466924,24,0
Москва,Бухгалтер,96231,1480776,72,1
Москва,Экономист,189242,1051364,24,1
Казань,Экономист,75614,995956,108,1
Москва,Бухгалтер,157495,1577740,96,1
Питер,Бухгалтер,89450,621952,96,1
Питер,Бухгалтер,112309,1494628,84,1
Питер,Экономист,89450,497284,36,1
Питер,Экономист,189242,1910188,48,1
Питер,Экономист,96231,1425368,72,1
Москва,Бухгалтер,137245,1979448,12,0
Питер,Бухгалтер,189242,1674704,36,1
Казань,Экономист,157495,1840928,72,1
Питер,Программист,210561,1480776,96,1
Казань,Программист,75614,1910188,96,1
Питер,Бухгалтер,157495,552692,108,1
Питер,Экономист,210561,497284,12,1
Питер,Бухгалтер,112309,1425368,48,1
Казань,Экономист,75614,802028,84,1
Москва,Экономист,137245,234096,108,1
Питер,Бухгалтер,96231,1827076,96,1
Казань,Экономист,96231,1259144,60,1
Казань,Экономист,96231,566544,60,1
Питер,Экономист,210561,1286848,48,1
Казань,Программист,189242,1425368,84,1
Питер,Экономист,96231,968252,36,1
Питер,Программист,96231,1813224,72,1
Москва,Программист,75614,400320,108,1
Москва,Программист,112309,455728,96,1
Москва,Программист,210561,1896336,96,1
Москва,Бухгалтер,210561,1937892,72,1
Питер,Программист,112309,1799372,48,0
Питер,Экономист,189242,1494628,12,0
Казань,Программист,210561,718916,60,1
Питер,Экономист,210561,1522332,36,1
Питер,Программист,137245,968252,72,1
Москва,Экономист,157495,1605444,72,1
Москва,Программист,189242,1716260,108,1
Москва,Программист,189242,829732,12,0
Казань,Программист,189242,1716260,36,1
Москва,Бухгалтер,89450,746620,24,0
Казань,Бухгалтер,210561,1896336,72,1
Москва,Экономист,112309,885140,108,1
Москва,Программист,189242,1757816,84,1
Москва,Бухгалтер,89450,1563888,96,1
Питер,Программист,112309,386468,36,1
Казань,Экономист,189242,1314552,72,1
Москва,Программист,96231,1827076,36,0
Питер,Бухгалтер,112309,732768,60,1
Казань,Экономист,210561,344912,36,1
Казань,Программист,112309,774324,108,1
Казань,Экономист,75614,912844,36,0
Питер,Программист,112309,608100,72,1
Питер,Программист,157495,1272996,48,1
Москва,Программист,189242,1009808,24,1
Казань,Экономист,210561,428024,12,1
Москва,Программист,75614,649656,96,1
Казань,Экономист,189242,1217588,96,1
Питер,Бухгалтер,210561,538840,12,1
Казань,Бухгалтер,112309,1882484,84,1
Москва,Бухгалтер,96231,649656,72,1
Казань,Программист,189242,303356,96,1
Москва,Бухгалтер,157495,1148328,24,0
Питер,Программист,75614,1065216,60,1
Казань,Бухгалтер,137245,1937892,96,1
Питер,Бухгалтер,112309,1009808,96,1
Казань,Бухгалтер,112309,1314552,72,1
Казань,Бухгалтер,137245,1674704,60,1
Москва,Бухгалтер,96231,1356108,108,1
Казань,Программист,112309,1217588,72,1
Москва,Программист,75614,1411516,48,0
Казань,Программист,112309,1827076,60,1
Москва,Программист,189242,815880,60,1
Питер,Экономист,189242,441876,12,1
Москва,Программист,112309,275652,60,1
Москва,Экономист,137245,317208,72,1
Казань,Экономист,112309,220244,84,1
Казань,Бухгалтер,210561,732768,24,1
Казань,Бухгалтер,96231,1009808,48,1
Казань,Программист,75614,857436,48,1
Казань,Бухгалтер,137245,1494628,108,1
Питер,Экономист,89450,1106772,24,0
Казань,Бухгалтер,189242,677360,24,1
Питер,Экономист,89450,1106772,12,0
Москва,Бухгалтер,75614,1259144,84,1
Казань,Программист,89450,524988,12,0
Питер,Программист,112309,1272996,72,1
Питер,Бухгалтер,75614,871288,96,1
Москва,Бухгалтер,137245,1730112,48,1
Питер,Экономист,89450,1106772,12,0
Казань,Бухгалтер,157495,802028,96,1
Питер,Экономист,96231,621952,24,1
Москва,Бухгалтер,157495,1577740,24,0
Москва,Бухгалтер,137245,234096,96,1
Москва,Бухгалтер,189242,524988,72,1
Москва,Бухгалтер,210561,1245292,48,1
Питер,Бухгалтер,75614,441876,84,1
Питер,Экономист,75614,1757816,12,0
Питер,Программист,157495,1009808,96,1
Москва,Бухгалтер,89450,1771668,96,1
Москва,Бухгалтер,89450,608100,12,0
Москва,Бухгалтер,75614,1079068,108,1
Питер,Программист,112309,1272996,108,1
Москва,Экономист,75614,511136,36,1
Питер,Экономист,89450,1231440,84,1
Казань,Программист,75614,1203736,60,1
Москва,Программист,210561,220244,24,1
Казань,Бухгалтер,157495,1453072,84,1
Питер,Бухгалтер,137245,1674704,12,0
Питер,Бухгалтер,75614,1314552,12,0
Москва,Программист,96231,926696,48,1
Питер,Бухгалтер,75614,1494628,84,1
Москва,Бухгалтер,189242,621952,24,1
Казань,Экономист,210561,843584,36,1
Москва,Экономист,112309,1771668,84,1
Питер,Экономист,189242,1660852,36,1
Москва,Программист,210561,1591592,36,1
Москва,Экономист,189242,871288,84,1
Казань,Программист,157495,441876,12,1
Питер,Экономист,157495,1965596,24,0
Казань,Бухгалтер,210561,954400,12,0
Казань,Программист,137245,1480776,96,1
Казань,Бухгалтер,189242,1910188,84,1
Москва,Экономист,157495,524988,72,1
Питер,Программист,112309,1799372,84,1
Москва,Бухгалтер,89450,1827076,48,0
Казань,Программист,96231,1522332,24,0
Казань,Бухгалтер,137245,1120624,48,1
Казань,Экономист,137245,483432,72,1
Москва,Экономист,75614,1702408,48,0
Москва,Программист,75614,1536184,96,1
Москва,Программист,96231,344912,108,1
Казань,Экономист,157495,1079068,24,1
Питер,Бухгалтер,96231,774324,12,0
Москва,Программист,137245,331060,84,1
Питер,Программист,157495,1827076,48,1
Казань,Программист,89450,1508480,12,0
Питер,Бухгалтер,137245,677360,72,1
Москва,Бухгалтер,112309,857436,24,0
Питер,Бухгалтер,157495,1176032,108,1
Казань,Экономист,137245,1453072,96,1
Москва,Экономист,112309,691212,84,1
Питер,Экономист,137245,608100,108,1
Казань,Программист,112309,1730112,72,1
Питер,Программист,210561,732768,96,1
Казань,Программист,75614,802028,36,1
Питер,Бухгалтер,89450,885140,60,1
Москва,Бухгалтер,189242,1993300,36,1
Питер,Программист,189242,1480776,84,1
Москва,Программист,112309,871288,48,1
Казань,Программист,96231,1272996,72,1
Москва,Экономист,157495,1397664,60,1
Казань,Бухгалтер,189242,1605444,72,1
Питер,Программист,137245,1785520,84,1
Питер,Экономист,75614,441876,48,1
Москва,Программист,75614,1383812,84,1
Питер,Экономист,112309,1383812,36,0
Москва,Бухгалтер,75614,995956,12,0
Москва,Бухгалтер,137245,1965596,12,0
Москва,Экономист,137245,871288,24,1
Москва,Экономист,210561,289504,84,1
Москва,Бухгалтер,189242,1799372,12,0
Москва,Бухгалтер,137245,1771668,48,1
Питер,Экономист,89450,1702408,48,0
Питер,Экономист,96231,1799372,48,0
Питер,Программист,96231,1453072,24,0
Москва,Бухгалтер,96231,802028,96,1
Казань,Экономист,112309,1162180,96,1
Казань,Бухгалтер,157495,1176032,24,0
Москва,Экономист,210561,289504,36,1
Казань,Бухгалтер,89450,400320,84,1
Питер,Программист,89450,1882484,108,1
Москва,Бухгалтер,189242,677360,48,1
Питер,Бухгалтер,112309,705064,12,0
Казань,Бухгалтер,210561,1508480,108,1
Москва,Бухгалтер,157495,1231440,72,1
Казань,Экономист,112309,1342256,24,0
Москва,Программист,75614,372616,96,1
Казань,Бухгалтер,157495,1453072,84,1
Москва,Бухгалтер,112309,663508,24,1
Питер,Бухгалтер,157495,483432,48,1
Питер,Программист,210561,1979448,12,0
Казань,Программист,89450,1300700,84,1
Казань,Программист,157495,1730112,48,1
Питер,Экономист,210561,1411516,84,1
Москва,Программист,137245,192540,24,1
Казань,Программист,157495,1342256,24,0
Питер,Бухгалтер,96231,1356108,36,0
Москва,Экономист,157495,649656,72,1
Москва,Экономист,112309,982104,36,1
Москва,Программист,112309,483432,12,0
Казань,Экономист,89450,1633148,12,0
Москва,Программист,157495,524988,24,1
Казань,Бухгалтер,210561,566544,84,1
Москва,Бухгалтер,89450,1466924,24,0
Москва,Бухгалтер,112309,594248,72,1
Питер,Программист,189242,871288,60,1
Москва,Бухгалтер,189242,718916,96,1
Питер,Бухгалтер,157495,386468,108,1
Питер,Бухгалтер,89450,358764,36,1
Казань,Программист,157495,428024,108,1
Питер,Бухгалтер,89450,1508480,36,0
Москва,Бухгалтер,112309,358764,84,1
Москва,Бухгалтер,89450,566544,36,1
Москва,Бухгалтер,89450,469580,84,1
Питер,Программист,75614,1037512,72,1
Казань,Программист,112309,635804,72,1
Питер,Бухгалтер,189242,1993300,12,0
Казань,Бухгалтер,96231,1314552,24,0
Москва,Программист,75614,1356108,12,0
Питер,Бухгалтер,96231,552692,96,1
Казань,Экономист,189242,995956,84,1
Казань,Экономист,157495,1771668,24,0
Питер,Программист,157495,1550036,84,1
Москва,Программист,89450,1342256,84,1
Москва,Программист,75614,275652,48,1
Питер,Экономист,189242,552692,48,1
Москва,Программист,210561,1550036,12,0
Питер,Программист,96231,1148328,84,1
Питер,Бухгалтер,210561,344912,24,1
Казань,Экономист,112309,1771668,96,1
Москва,Программист,89450,1619296,48,0
Казань,Экономист,96231,275652,12,1
Москва,Бухгалтер,89450,802028,72,1
Москва,Программист,210561,1120624,36,1
Москва,Бухгалтер,89450,1286848,60,1
Москва,Экономист,112309,1536184,96,1
Казань,Экономист,189242,1453072,72,1
Казань,Бухгалтер,137245,940548,96,1
Москва,Экономист,189242,1716260,12,0
Питер,Экономист,157495,691212,36,1
Питер,Экономист,157495,1023660,84,1
Казань,Программист,89450,1619296,12,0
Казань,Программист,75614,289504,36,1
Москва,Экономист,157495,843584,12,0
Питер,Программист,137245,1231440,24,0
Казань,Бухгалтер,210561,1605444,108,1
Казань,Экономист,210561,1577740,48,1
Питер,Программист,189242,1882484,108,1
Москва,Экономист,96231,428024,96,1
Питер,Программист,112309,1037512,48,1
Питер,Бухгалтер,75614,1647000,36,0
Питер,Программист,75614,1993300,60,0
Казань,Экономист,89450,1494628,72,1
Питер,Программист,137245,1148328,84,1
Москва,Бухгалтер,137245,1563888,48,1
Казань,Программист,75614,261800,84,1
Москва,Бухгалтер,96231,1203736,12,0
Питер,Программист,75614,982104,24,0
Питер,Программист,189242,1342256,36,1
Москва,Бухгалтер,75614,1259144,24,0
Москва,Программист,112309,1550036,12,0
Питер,Экономист,210561,995956,72,1
Москва,Экономист,137245,1605444,84,1
Питер,Программист,112309,1563888,72,1
Питер,Экономист,189242,663508,84,1
Питер,Программист,189242,1466924,108,1
Москва,Программист,210561,1189884,24,1
Москва,Экономист,96231,511136,60,1
Питер,Бухгалтер,96231,663508,84,1
Москва,Бухгалтер,137245,1217588,24,0
Казань,Программист,89450,815880,72,1
Москва,Экономист,112309,1924040,72,1
Казань,Экономист,157495,968252,48,1
Казань,Бухгалтер,210561,774324,12,0
Москва,Экономист,189242,524988,24,1
Москва,Бухгалтер,210561,1951744,12,0
Москва,Программист,137245,1009808,108,1
Питер,Программист,75614,1730112,108,1
Казань,Программист,157495,885140,108,1
Казань,Бухгалтер,189242,691212,72,1
Москва,Экономист,112309,428024,60,1
Казань,Бухгалтер,96231,247948,24,1
Питер,Бухгалтер,89450,261800,108,1
Питер,Программист,96231,511136,108,1
Москва,Экономист,89450,829732,96,1
Казань,Экономист,137245,414172,12,1
Казань,Экономист,89450,358764,108,1
Питер,Бухгалтер,96231,538840,36,1
Казань,Бухгалтер,96231,1106772,72,1
Питер,Программист,189242,995956,12,0
Казань,Бухгалтер,75614,1231440,108,1
Питер,Программист,210561,621952,48,1
Питер,Экономист,137245,1619296,72,1
Казань,Экономист,189242,1563888,84,1
Питер,Бухгалтер,137245,234096,84,1
Питер,Программист,89450,1480776,24,0
Казань,Экономист,157495,691212,72,1
Москва,Программист,137245,1369960,12,0
Москва,Бухгалтер,157495,1882484,108,1
Питер,Бухгалтер,210561,552692,108,1
Питер,Бухгалтер,89450,303356,108,1
Питер,Программист,137245,968252,84,1
Питер,Бухгалтер,96231,1494628,108,1
Казань,Программист,112309,1259144,12,0
Москва,Экономист,75614,774324,84,1
Казань,Экономист,137245,1619296,48,1
Москва,Бухгалтер,189242,1827076,72,1
Казань,Программист,112309,1342256,12,0
Казань,Программист,96231,524988,60,1
Казань,Экономист,112309,1328404,96,1
Казань,Экономист,189242,428024,24,1
Питер,Программист,96231,1328404,84,1
Казань,Программист,112309,1259144,60,1
Казань,Программист,112309,1910188,36,0
Казань,Бухгалтер,96231,1245292,72,1
Казань,Программист,75614,774324,48,1
Питер,Программист,137245,1951744,108,1
Москва,Программист,210561,1217588,84,1
Питер,Программист,189242,1619296,72,1
Казань,Бухгалтер,75614,594248,36,1
Питер,Бухгалтер,157495,400320,72,1
Казань,Программист,210561,885140,84,1
Москва,Программист,75614,1508480,96,1
Питер,Программист,112309,1134476,72,1
Питер,Бухгалтер,189242,1757816,84,1
Москва,Экономист,189242,1259144,84,1
Казань,Бухгалтер,210561,621952,12,1
Москва,Экономист,157495,912844,12,0
Питер,Экономист,89450,746620,12,0
Москва,Программист,157495,1120624,12,0
Москва,Бухгалтер,137245,1840928,48,1
Питер,Бухгалтер,89450,261800,36,1
Москва,Экономист,112309,469580,96,1
Питер,Экономист,75614,483432,48,1
Питер,Экономист,189242,1272996,60,1
Казань,Программист,137245,885140,24,1
Питер,Бухгалтер,137245,317208,108,1
Казань,Экономист,210561,1757816,12,0
Питер,Бухгалтер,210561,1411516,12,0
Москва,Бухгалтер,96231,1924040,48,0
Питер,Экономист,137245,995956,72,1
Москва,Экономист,89450,788176,24,0
Казань,Программист,157495,1771668,36,0
Москва,Экономист,75614,1550036,36,0
Москва,Программист,210561,968252,60,1
Питер,Экономист,189242,1328404,12,0
Питер,Экономист,137245,1924040,108,1
Москва,Бухгалтер,112309,746620,108,1
Питер,Экономист,96231,261800,96,1
Москва,Экономист,89450,621952,84,1
Москва,Программист,157495,885140,36,1
Москва,Программист,157495,1633148,60,1
Москва,Бухгалтер,89450,940548,36,1
Москва,Бухгалтер,210561,1868632,24,0
Казань,Экономист,96231,732768,60,1
Казань,Экономист,112309,1716260,96,1
Москва,Бухгалтер,189242,1120624,96,1
Москва,Экономист,210561,732768,108,1
Казань,Бухгалтер,112309,1286848,36,0
Питер,Бухгалтер,210561,1633148,12,0
Питер,Бухгалтер,96231,524988,108,1
Москва,Программист,112309,386468,48,1
Казань,Экономист,112309,1369960,60,1
Питер,Программист,89450,1120624,96,1
Москва,Экономист,75614,843584,48,1
Питер,Экономист,89450,718916,72,1
Питер,Экономист,137245,746620,36,1
Питер,Экономист,137245,1799372,96,1
Москва,Бухгалтер,189242,206392,84,1
Москва,Экономист,210561,608100,60,1
Питер,Программист,137245,1924040,36,0
Казань,Программист,112309,1965596,96,1
Казань,Бухгалтер,210561,428024,108,1
Казань,Экономист,157495,1910188,96,1
Питер,Экономист,157495,1965596,48,1
Казань,Бухгалтер,112309,1951744,36,0
Москва,Программист,189242,524988,84,1
Питер,Программист,137245,829732,72,1
Казань,Программист,210561,746620,84,1
Казань,Экономист,75614,192540,12,1
Москва,Программист,75614,400320,84,1
Москва,Бухгалтер,137245,746620,96,1
Питер,Программист,96231,1785520,24,0
Москва,Программист,75614,1092920,24,0
Москва,Бухгалтер,189242,275652,48,1
Казань,Экономист,96231,1162180,72,1
Питер,Бухгалтер,96231,483432,48,1
Москва,Программист,96231,1633148,96,1
Москва,Экономист,75614,538840,12,0
Питер,Программист,210561,1550036,12,0
Питер,Бухгалтер,157495,1605444,12,0
Казань,Бухгалтер,210561,1466924,12,0
Казань,Бухгалтер,89450,1328404,36,0
Казань,Экономист,75614,428024,72,1
Казань,Бухгалтер,189242,1868632,96,1
Питер,Экономист,75614,1286848,96,1
Питер,Бухгалтер,137245,718916,12,0
Москва,Экономист,96231,1300700,96,1
Казань,Экономист,89450,247948,12,1
Казань,Бухгалтер,189242,358764,72,1
Казань,Программист,89450,1813224,24,0
Питер,Программист,75614,1757816,36,0
Москва,Программист,210561,192540,36,1
Питер,Экономист,137245,455728,84,1
Питер,Экономист,137245,940548,108,1
Казань,Бухгалтер,137245,1369960,108,1
Питер,Экономист,112309,1106772,48,1
Москва,Программист,189242,1605444,60,1
Питер,Бухгалтер,75614,566544,72,1
Питер,Программист,112309,1633148,36,0
Москва,Бухгалтер,210561,1134476,12,0
Москва,Программист,189242,677360,12,1
Казань,Экономист,137245,1508480,24,0
Казань,Бухгалтер,89450,1743964,36,0
Питер,Программист,157495,428024,36,1
Казань,Экономист,157495,1730112,96,1
Москва,Программист,89450,428024,108,1
Казань,Программист,112309,760472,48,1
Москва,Бухгалтер,137245,608100,12,0
Питер,Бухгалтер,189242,843584,48,1
Москва,Экономист,189242,1937892,84,1
Казань,Программист,75614,871288,36,0
Питер,Программист,189242,1023660,72,1
Москва,Программист,137245,414172,48,1
Казань,Экономист,112309,1577740,60,1
Казань,Программист,89450,206392,84,1
Питер,Бухгалтер,89450,247948,48,1
Москва,Экономист,75614,580396,60,1
Питер,Бухгалтер,96231,1910188,108,1
Питер,Экономист,96231,1453072,12,0
Питер,Программист,75614,441876,96,1
Казань,Бухгалтер,189242,1300700,36,1
Москва,Бухгалтер,157495,1425368,84,1
Москва,Экономист,75614,1203736,12,0
Казань,Экономист,96231,1245292,24,0
Питер,Экономист,112309,1882484,60,1
Казань,Программист,157495,1176032,108,1
Питер,Бухгалтер,189242,580396,36,1
Москва,Бухгалтер,189242,428024,108,1
Казань,Программист,96231,691212,48,1
Казань,Бухгалтер,89450,1882484,12,0
Питер,Экономист,89450,829732,60,1
Питер,Бухгалтер,75614,1840928,24,0
Москва,Программист,189242,1162180,60,1
Москва,Бухгалтер,157495,1494628,84,1
Москва,Программист,112309,594248,84,1
Питер,Бухгалтер,210561,1162180,60,1
Казань,Программист,75614,455728,108,1
Питер,Экономист,89450,538840,12,0
Питер,Экономист,89450,1896336,96,1
Москва,Бухгалтер,75614,1951744,24,0
Казань,Бухгалтер,96231,1979448,72,1
Казань,Программист,189242,1494628,72,1
Казань,Бухгалтер,112309,1771668,108,1
Казань,Бухгалтер,189242,1245292,36,1
Москва,Программист,96231,372616,72,1
Казань,Бухгалтер,89450,718916,96,1
Казань,Программист,189242,331060,60,1
Питер,Экономист,137245,1854780,48,1
Питер,Бухгалтер,89450,414172,84,1
Москва,Экономист,189242,1383812,84,1
Москва,Программист,189242,400320,24,1
Казань,Экономист,112309,206392,36,1
Питер,Экономист,75614,566544,108,1
Питер,Экономист,112309,303356,96,1
Москва,Бухгалтер,157495,1785520,12,0
Москва,Бухгалтер,96231,220244,36,1
Питер,Программист,210561,774324,96,1
Казань,Программист,210561,247948,12,1
Казань,Программист,75614,788176,72,1
Казань,Программист,89450,261800,12,1
Казань,Экономист,189242,940548,60,1
Казань,Экономист,137245,1924040,36,0
Казань,Программист,189242,1162180,84,1
Москва,Экономист,157495,940548,84,1
Москва,Экономист,157495,1480776,12,0
Казань,Программист,210561,774324,108,1
Казань,Экономист,157495,635804,96,1
Питер,Экономист,137245,1203736,108,1
Москва,Экономист,96231,1009808,36,1
Москва,Экономист,96231,1439220,96,1
Москва,Бухгалтер,96231,1397664,24,0
Питер,Экономист,112309,538840,108,1
Казань,Программист,157495,1009808,24,1
Питер,Бухгалтер,112309,580396,48,1
Казань,Программист,89450,192540,96,1
Казань,Экономист,137245,1134476,72,1
Москва,Программист,137245,718916,36,1
Казань,Бухгалтер,210561,1300700,24,1
Казань,Бухгалтер,112309,524988,96,1
Казань,Бухгалтер,96231,1009808,36,1
Казань,Бухгалтер,157495,1383812,36,1
Казань,Экономист,137245,1245292,108,1
Питер,Бухгалтер,96231,1743964,108,1
Питер,Экономист,157495,843584,48,1
Питер,Бухгалтер,89450,1605444,36,0
Питер,Бухгалтер,137245,1397664,24,0
Казань,Программист,89450,718916,12,0
Москва,Экономист,137245,1466924,36,1
Казань,Программист,189242,1550036,24,0
Москва,Бухгалтер,157495,1259144,12,0
Питер,Программист,112309,289504,36,1
Питер,Программист,157495,206392,96,1
Москва,Экономист,75614,1813224,72,0
Питер,Бухгалтер,75614,1937892,84,0
Москва,Программист,137245,843584,72,1
Питер,Программист,137245,815880,72,1
Питер,Программист,89450,1134476,84,1
Москва,Бухгалтер,112309,1494628,108,1
Москва,Экономист,157495,1425368,36,1
Питер,Бухгалтер,157495,1286848,108,1
Москва,Бухгалтер,189242,1176032,72,1
Питер,Экономист,112309,1286848,72,1
Казань,Экономист,96231,552692,24,1
Казань,Бухгалтер,96231,1356108,36,0
Москва,Бухгалтер,96231,566544,12,0
Казань,Бухгалтер,96231,1757816,108,1
Питер,Программист,189242,774324,108,1
Казань,Экономист,189242,857436,60,1
Казань,Программист,75614,1619296,48,0
Питер,Экономист,189242,469580,72,1
Питер,Бухгалтер,137245,358764,108,1
Казань,Экономист,157495,1813224,96,1
Казань,Экономист,96231,802028,36,1
Казань,Экономист,189242,234096,36,1
Москва,Программист,96231,1827076,12,0
Питер,Бухгалтер,137245,788176,48,1
Питер,Программист,96231,1757816,108,1
Москва,Программист,75614,192540,48,1
Москва,Экономист,112309,455728,36,1
Казань,Экономист,75614,912844,36,0
Казань,Экономист,210561,1785520,12,0
Казань,Программист,96231,1716260,36,0
Москва,Программист,89450,1771668,96,1
Москва,Бухгалтер,112309,497284,48,1
Москва,Экономист,96231,1203736,12,0
Казань,Программист,96231,1023660,60,1
Москва,Программист,189242,1619296,36,1
Москва,Программист,89450,926696,108,1
Москва,Программист,89450,1910188,72,1
Питер,Экономист,89450,1342256,48,0
Питер,Бухгалтер,89450,1189884,96,1
Москва,Программист,96231,1882484,12,0
Питер,Бухгалтер,189242,1771668,72,1
Казань,Программист,96231,358764,60,1
Питер,Программист,137245,386468,36,1
Питер,Программист,112309,275652,72,1
Москва,Бухгалтер,89450,1840928,36,0
Казань,Программист,112309,386468,108,1
Питер,Экономист,137245,497284,48,1
Москва,Экономист,137245,1619296,108,1
Питер,Бухгалтер,210561,455728,24,1
Москва,Экономист,96231,760472,96,1
Москва,Программист,112309,594248,48,1
Москва,Программист,210561,677360,108,1
Казань,Экономист,210561,1383812,48,1
Москва,Бухгалтер,137245,511136,60,1
Казань,Программист,75614,538840,48,1
Казань,Бухгалтер,157495,621952,84,1
Питер,Программист,89450,885140,72,1
Москва,Экономист,96231,1065216,96,1
Казань,Экономист,210561,1286848,96,1
Москва,Экономист,75614,1550036,24,0
Москва,Экономист,112309,247948,72,1
Питер,Экономист,75614,247948,24,1
Казань,Программист,75614,469580,96,1
Москва,Программист,89450,843584,36,1
Казань,Программист,137245,1660852,60,1
Москва,Бухгалтер,157495,1286848,84,1
Москва,Экономист,75614,497284,36,1
Казань,Бухгалтер,75614,1176032,36,0
Питер,Бухгалтер,112309,1702408,24,0
Москва,Программист,137245,524988,48,1
Питер,Бухгалтер,189242,358764,48,1
Москва,Бухгалтер,89450,968252,48,1
Питер,Программист,137245,802028,36,1
Казань,Программист,189242,1508480,24,0
Москва,Бухгалтер,137245,192540,84,1
Москва,Программист,137245,469580,36,1
Москва,Экономист,189242,331060,12,1
Казань,Экономист,75614,871288,36,0
Казань,Бухгалтер,137245,1951744,12,0
Москва,Экономист,189242,1356108,36,1
Питер,Бухгалтер,189242,538840,24,1
Питер,Программист,210561,1217588,60,1
Казань,Экономист,157495,635804,60,1
Москва,Программист,157495,344912,24,1
Казань,Бухгалтер,157495,206392,36,1
Питер,Программист,210561,511136,12,1
Питер,Бухгалтер,189242,1480776,96,1
Москва,Экономист,75614,1383812,96,1
Питер,Бухгалтер,96231,400320,12,0
Москва,Программист,210561,1702408,36,1
Москва,Бухгалтер,75614,414172,72,1
Москва,Экономист,189242,788176,72,1
Казань,Программист,157495,331060,108,1
Москва,Бухгалтер,137245,261800,48,1
Москва,Программист,189242,1176032,72,1
Казань,Программист,137245,788176,36,1
Питер,Экономист,210561,1494628,84,1
Казань,Бухгалтер,210561,1688556,24,0
Москва,Бухгалтер,157495,1162180,24,0
Казань,Программист,112309,1383812,72,1
Москва,Бухгалтер,96231,746620,72,1
